, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
 Destination Port,1.0,-0.19676636034960177,-0.003484478054639154,-0.0032552024541184425,0.01511919365162712,-0.0026591577980660005,0.07052801062020429,-0.07020243633579082,0.12335283600561454,0.10258995238695141,-0.22208226899781805,-0.17271457422497402,-0.24190750608466685,-0.20978888530862172,0.0882343958012736,0.1412460000268393,-0.1349832606059278,-0.17122266346391493,-0.17431302057550999,-0.019954157764006462,-0.19531518198593853,-0.14037038816434205,-0.16393210418155546,-0.17375326545232717,-0.040362796743833605,-0.10252270140219207,-0.0669828692941255,-0.05827177948052212,-0.07185865014708263,-0.03904997640875675,0.25570738674003507,,,,-0.0041635623634301575,-0.003936124017416075,0.12540215225292892,0.17581403241430235,-0.13460112426388798,-0.1842508334153829,-0.1943276250628356,-0.18298147570517992,-0.14403346006186443,-0.07697836462705611,0.25570738674003507,-0.006141872092712597,-0.1572152711114055,0.38386883829425883,0.49754183961839465,,-0.00615493207916081,-0.02520053361358618,-0.1919014741404835,0.12335283600561454,-0.24190750608466738,-0.0041635623634301575,,,,,,,-0.003484478054639154,0.01511919365162712,-0.0032552024541184425,-0.0026591759490752305,-0.08195372090382819,0.15718301073592938,-0.0026131865814403854,-0.0592950574263198,-0.04400846783668714,-0.03294652918651636,-0.04970602836879033,-0.03532042586509397,-0.1696656461088383,-0.03171610862165179,-0.17134008975152387,-0.16687147693568544
 Flow Duration,-0.19676636034960177,1.0,0.014660357777449722,0.013723445455673387,0.08220327990450806,0.011720366161907041,0.3060215251699514,-0.17368398512916508,0.1487829272430804,0.29511127741395166,0.7020655336248911,-0.3123415395797065,0.698286683152823,0.6722399386099361,-0.038274539811493084,-0.2021392381582499,0.6187060824017323,0.8598531638121406,0.8869321773074743,0.04854901164151961,0.9992682470364305,0.6583505890953469,0.8474962993945256,0.8867733762163718,0.13782088629545547,0.654759684161861,0.3927932655901379,0.49889969180805216,0.5313368696541829,0.1428636535287494,-0.06779084969894782,,,,0.016722400917840736,0.015941270176692633,-0.19539133583670829,-0.08580987926834548,-0.29319285313947807,0.7150354264392346,0.6807878123809161,0.7019460584816347,0.5799944030297435,0.32682605793652564,-0.06779084969894782,-0.0010757108923572978,0.07041837301087964,0.09612596614263806,-0.16871941838585483,,-0.0011246556903086195,-0.1438868369422927,0.6651275986666024,0.1487829272430804,0.6982866831528263,0.016722400917840736,,,,,,,0.014660357777449722,0.08220327990450806,0.013723445455673387,0.011719881571151019,0.01253935788143709,-0.05291162701536093,0.01152433045156203,-0.08650425674935479,0.1223465382775963,0.160212104074077,0.1867848066189892,0.06467159849276317,0.874838989874612,0.1852338711451468,0.8849181961243392,0.8586411782225349
 Total Fwd Packets,-0.003484478054639154,0.014660357777449722,1.0,0.9989000386601793,0.7262003380855514,0.9958740301876893,0.008358278813395596,-0.002939288902759091,-0.00020027493227188872,0.0011194182087029764,0.01538543356602681,-0.004954999703740494,0.014699064780455922,0.003677054763796713,0.0002327589448112716,-0.003011699038046683,-0.0017561958461456027,-0.0016572723237894091,-0.000334449664698966,-0.0006058342040557704,0.014585047359278451,-0.0018954030546772661,-0.0014148083639646983,-0.00038679336531656294,-0.0011617801229215593,0.019323788635739563,-0.0009627295693901402,-0.0005831967716766494,0.000608611391387779,-0.0008754784913259342,0.004269979239674144,,,,0.999768303388831,0.9988236718087937,-0.0029279551383017493,-0.001117356951351104,-0.004991433379413461,0.01535179999723953,0.018367827157841205,0.008304794976847286,0.004404641521400751,-0.0020416117007159406,0.004269979239674144,0.0006932576762390461,0.007964655867852477,0.0006717593519864127,-0.00300140634697604,,0.0006909888338612997,0.00298751157701993,0.016632923983646842,-0.00020027493227188872,0.014699064780457375,0.999768303388831,,,,,,,1.0,0.7262003380855514,0.9989000386601793,0.9958569573309075,0.0038670365014905643,-2.304983571944051e-05,0.9996599828632672,-0.006123437137436418,0.006756553989864689,0.005911446985445854,0.008368101902860815,0.00476461399868755,-0.0006968987853162074,0.0005917475614834079,-0.0006208064157690707,-0.0007790591905379089
 Total Backward Packets,-0.0032552024541184425,0.013723445455673387,0.9989000386601793,1.0,0.7255534877859678,0.9926301131006815,0.007950894672214534,-0.002556264061852081,-0.0005147762617871048,0.0007424766435904738,0.01498046309887583,-0.004114350638934762,0.014470650161694588,0.0031849186649632773,0.0001827809615354691,-0.003112460355519729,-0.002112473129558437,-0.00211898881319548,-0.0008066838670835137,-0.0006259537160253229,0.013641760638201484,-0.0020257856540751205,-0.0018111380024702565,-0.0008660762147375929,-0.001021488935422747,0.019175658787684634,-0.00111498257389316,-0.0005107237476074171,0.000869741887119869,-0.0009307892836597099,0.004317001804145982,,,,0.9990459133830432,0.9999330228135538,-0.0030559961197146436,-0.0008413160042852134,-0.00434164068421731,0.014904508213866942,0.018515633932239015,0.007963303480273907,0.004059751285089107,-0.0016249683742596117,0.004317001804145982,0.00039286205956819923,0.007241546226041915,0.00024407187442501883,-0.002460349320988735,,0.00039129168127840705,0.005375201111300063,0.016801294121801202,-0.0005147762617871048,0.0144706501616964,0.9990459133830432,,,,,,,0.9989000386601793,0.7255534877859678,1.0,0.9926179492338328,0.0033031227740428536,7.869763797485278e-06,0.9984062010628378,-0.006103765138987863,0.005661385671186854,0.004232048374129026,0.0066367951583701365,0.004615810292068959,-0.0010951279315919897,0.00014119719278084312,-0.0010831992258330363,-0.0011328070176317058
Total Length of Fwd Packets,0.01511919365162712,0.08220327990450806,0.7262003380855514,0.7255534877859678,1.0,0.7204510330238779,0.3199724257687578,-0.004603812375560077,0.2892938802257956,0.26528849929630033,0.028247420397949707,-0.036622831914888195,0.02309534618120728,0.01149244223968839,0.0053030848536714924,-0.025491121771727944,0.00431912622660414,0.015197384579946084,0.02384698211972386,-0.00511743281911142,0.08128875461127484,0.00428376533374471,0.017918038136417333,0.02344840715624153,-0.00876909135526474,0.112827421388495,0.02130954772820097,0.04338316125876182,0.046610432028597826,-0.003515731908895506,0.017179359052392297,,,,0.7262271273992483,0.7259639905871729,-0.02472954696547094,-0.009972130259193636,-0.029582413322978666,0.08194636555014853,0.09468706342523035,0.06383219468853171,0.03964539008214972,-0.012231587328761171,0.017179359052392297,0.010245376556740574,0.07857995423287817,-0.01078676822258228,-0.020988332711197773,,0.010216654828051277,-0.00590657688443005,0.0888731196378052,0.2892938802257956,0.023095346181238076,0.7262271273992483,,,,,,,0.7262003380855512,1.0,0.7255534877859676,0.7204371321617014,0.06627390878861537,0.04349949838071664,0.7258065969569862,-0.01203769945245911,0.14537623979010994,0.1824816673373218,0.20337156672966322,0.06748275420871087,0.02104638926295856,0.012873085767568593,0.022571562856376497,0.019556021829338823
 Total Length of Bwd Packets,-0.0026591577980660005,0.011720366161907041,0.9958740301876893,0.9926301131006815,0.7204510330238779,1.0,0.005732813042034462,-0.0021954704009554214,-0.0016071719288791803,-0.0007411202786457692,0.015137205554389958,-0.0035663923513298674,0.014553415210261347,0.003648021796092037,0.00036495126930072747,-0.00228501073233603,-0.0018052228715404457,-0.0017448558556983913,-0.0006700628330742009,-0.00045916597819673096,0.011672225725017261,-0.001773267613384772,-0.0014367124343381858,-0.0007150607455617756,-0.0008749332638363839,0.015907889790851323,-0.0013731900045386293,-0.0008930778655964013,0.00011226958158307906,-0.0008589927784625342,0.004062486284603806,,,,0.9947587224433413,0.9925433905084126,-0.002238833615310737,-0.0006674497686478202,-0.0037213220522400964,0.014879363676920339,0.018011622999880374,0.008065533377396596,0.00494792219338153,-0.0012098709748569621,0.004062486284603806,0.00021750798284971964,0.004489205426699717,0.0015539510249159394,-0.0020192517123032504,,0.0002164505773303498,0.004643017125969057,0.01641835745759193,-0.0016071719288791803,0.014553415210262332,0.9947587224433413,,,,,,,0.9958740301876892,0.7204510330238779,0.9926301131006815,0.9999997962805048,0.001331928984504933,-0.0003693809512039504,0.9962858119319112,-0.005581537416533906,0.003743102906313191,0.002165025730606732,0.003895139312101135,0.003360694724892279,-0.0009156405069268507,-8.952421163074112e-05,-0.0009270901258845176,-0.000917321814813833
 Fwd Packet Length Max,0.07052801062020429,0.3060215251699514,0.008358278813395596,0.007950894672214534,0.3199724257687578,0.005732813042034462,1.0,-0.017620091532959542,0.8724713451747783,0.9645043298289209,0.17131791512255704,-0.15759069558985542,0.15782729935480144,0.15959156196583635,0.062309247113652884,-0.1041190297265562,0.11025644977668106,0.20729261250995346,0.22863124295678286,-0.021592715364709063,0.30223931980358537,0.12062242697913153,0.22852680761387148,0.2272965622028994,-0.033804851205237775,0.3194993933031922,0.11749376478387157,0.26420008161266917,0.24643261613391268,-0.03155880216564365,-0.005006257296366087,,,,0.009815911422721814,0.00926825978048682,-0.101283250481896,-0.037669718874811825,-0.12982236252041118,0.34407104655664944,0.34890078195607627,0.33168609197139903,0.2541803081011486,0.015803441226956944,-0.005006257296366087,0.02478675317220997,0.25666769117699045,-0.028065848178623072,-0.08699352255716654,,0.0247044262696295,-0.03747517869906824,0.3450615099382935,0.8724713451747783,0.15782729935482337,0.009815911422721814,,,,,,,0.008358278813395596,0.3199724257687579,0.007950894672214536,0.005733700252372712,0.18521738207071983,0.03974268768305936,0.00663600047599555,0.011528256331228972,0.06638697574710217,0.09306567098419988,0.11315463372486495,0.0337376714450385,0.22670942938672659,0.025502037183909594,0.22660718088792442,0.22400429519605988
 Fwd Packet Length Min,-0.07020243633579082,-0.17368398512916508,-0.002939288902759091,-0.002556264061852081,-0.004603812375560077,-0.0021954704009554214,-0.017620091532959542,1.0,0.2447049838325701,-0.10286348754853375,-0.17358681068329795,0.33635805810332847,-0.1618575856406805,-0.17441832091309267,0.22755280853291465,-0.04835752215595966,-0.08210885901711341,-0.14000584087460063,-0.15557945126947678,0.0015510433617491911,-0.17222943209598313,-0.07579421143598032,-0.16097205077319407,-0.15497864332723763,0.03440977863383753,-0.1011543668874328,-0.019486836276661385,-0.09009783362958457,-0.07912087112842472,0.03404391660919457,0.05681933214890758,,,,-0.0035088057342974573,-0.003063138733832661,-0.059172128600555124,0.10846928523439911,0.5684471913630347,-0.16327567930842293,-0.08465139281158389,-0.15702387320159736,-0.13736175233884668,-0.08719935421835995,0.05681933214890758,-0.0054073585256626455,-0.14417325724331337,-0.17146991132796455,-0.029055198591179148,,-0.0054096942587047595,0.18559669641273877,-0.050870540236542645,0.2447049838325701,-0.1618575856406815,-0.0035088057342974573,,,,,,,-0.002939288902759092,-0.004603812375560074,-0.0025562640618520807,-0.0021954865984902174,-0.12227002091422273,-0.050650819162843315,-0.00206943284156295,0.010388747656897316,-0.03444946609363862,-0.02805237774567551,-0.04024148095707947,-0.026594471020444037,-0.1531078916059263,-0.027048949325029777,-0.15445388900792154,-0.1507328779597477
 Fwd Packet Length Mean,0.12335283600561454,0.1487829272430804,-0.00020027493227188872,-0.0005147762617871048,0.2892938802257956,-0.0016071719288791803,0.8724713451747783,0.2447049838325701,1.0,0.8896822703101643,0.04653763271374051,-0.03665526764973128,0.038494520923622495,0.04449011098025993,0.17928309283169086,-0.0826613949766598,0.06355188260160395,0.12373592882506346,0.13332024960365774,-0.01658897558714134,0.14678256651317387,0.07390369521466554,0.1340461110078679,0.13257732205586029,-0.01223482960773554,0.20628483299875333,0.11821907670341962,0.23485378186177186,0.21661023095368032,-0.004969017280061586,0.057033885133116136,,,,0.00024108935544027945,-0.00018567456366599456,-0.0830895776948231,-0.0018808194888423908,0.044334402014386876,0.2171978014908979,0.27887209333093066,0.22557088355272753,0.17026562412098556,-0.008919132484638293,0.057033885133116136,0.01847962564338151,0.13808981822020605,-0.042397071752978806,-0.07246432788646787,,0.018413150068130275,0.018650303687505483,0.290401785172793,1.0,0.038494520923629504,0.00024108935544027945,,,,,,,-0.00020027493227188807,0.2892938802257956,-0.0005147762617871053,-0.0016070955996143918,0.09746026342168525,0.009299402459358027,-0.00027207944631767926,0.02236130499327288,0.05151900908090062,0.08704688844789348,0.0846668262386423,0.0132094230310257,0.13054552133241837,0.01754346260342625,0.13174655821498427,0.12902575229796384
 Fwd Packet Length Std,0.10258995238695141,0.29511127741395166,0.0011194182087029764,0.0007424766435904738,0.26528849929630033,-0.0007411202786457692,0.9645043298289209,-0.10286348754853375,0.8896822703101643,1.0,0.19343498821500357,-0.18731001650825105,0.18063792715538102,0.18834540336206207,0.09868618327840205,-0.09136401720262619,0.12775203790697026,0.23557353155232366,0.25415786786221684,-0.02183633464683392,0.29145527703460483,0.14099969469953985,0.26023052159059806,0.2527813773688489,-0.032568799972250484,0.2926923347198869,0.12706853184806458,0.29112038536983514,0.26643295394585703,-0.03268874976180527,0.017380265861731376,,,,0.00204741076621393,0.0015855754902443133,-0.08749888869068717,-0.04721026277306629,-0.17901552265598378,0.3652436474753529,0.37891385190146787,0.36696574585375025,0.2939444845699507,0.04314385764942015,0.017380265861731376,0.021904420992906057,0.23590822775553988,0.0034589375214453453,-0.08474177336517184,,0.021829044456058128,-0.04195888155466446,0.37796319644769155,0.8896822703101643,0.18063792715539048,0.00204741076621393,,,,,,,0.0011194182087029768,0.26528849929630033,0.0007424766435904733,-0.000740991098637187,0.17440591555694004,0.03271854973811698,0.00028261104246292163,0.013995906696934129,0.050009813498411826,0.07691076462787799,0.08879214746060604,0.02124560510100317,0.2523729273540198,0.02455702587868713,0.2521112462350032,0.25010140428838085
