Label,Label_Encoded,Class_Weight,Train_Count
BENIGN,0,0.07988208200620178,1503870
Bot,1,87.88022433552791,1367
DDoS,2,1.34059732250133,89611
DoS GoldenEye,3,16.685037037037038,7200
DoS Hulk,4,0.9928778837518114,120994
DoS Slowhttptest,5,32.82302367941712,3660
DoS slowloris,6,31.865322723253758,3770
FTP - Patator,7,28.926623324504373,4153
Heartbleed,8,15016.533333333333,8
Infiltration,9,4805.290666666667,25
PortScan,10,1.8896743376380958,63573
SSH - Patator,11,53.32102382009173,2253
Web Attack - Brute Force,12,116.74661483641076,1029
Web Attack - Sql Injection,13,8008.817777777777,15
Web Attack - XSS,14,263.4479532163743,456
