fichier,nom_court,variable,type,valeurs_manquantes,valeurs_infinies,valeurs_zero,mediane,valeurs_uniques
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Destination Port,int64,0,0,54,80.0,23950
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow Duration,int64,0,0,34,1452333.0,187752
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Total Fwd Packets,int64,0,0,0,3.0,297
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Total Backward Packets,int64,0,0,55793,4.0,367
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Total Length of Fwd Packets,int64,0,0,5422,30.0,3831
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Total Length of Bwd Packets,int64,0,0,59683,164.0,6760
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Fwd Packet Length Max,int64,0,0,5422,20.0,1891
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Fwd Packet Length Min,int64,0,0,117256,0.0,151
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Fwd Packet Length Mean,float64,0,0,5422,8.666666667,7401
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Fwd Packet Length Std,float64,0,0,109924,5.30199124,9555
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Bwd Packet Length Max,int64,0,0,59683,99.0,1945
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Bwd Packet Length Min,int64,0,0,167203,0.0,343
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Bwd Packet Length Mean,float64,0,0,59683,92.0,8655
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Bwd Packet Length Std,float64,0,0,111583,2.449489743,9650
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow Bytes/s,float64,4,30,5026,1133.465571,202293
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow Packets/s,float64,0,34,0,5.175420891,194094
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow IAT Mean,float64,0,0,34,224516.8571,193666
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow IAT Std,float64,0,0,20836,564167.6299,159622
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow IAT Max,int64,0,0,34,1422624.0,139745
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Flow IAT Min,int64,0,0,7679,3.0,11093
Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Fri-DDoS,Fwd IAT Total,int64,0,0,31545,23710.0,78049
