,count,mean,std,min,25%,50%,75%,max,mediane,valeurs_zero,taux_zero_pct,valeurs_manquantes
Destination Port,200000.0,8179.40846,18252.306317407398,0.0,53.0,80.0,443.0,65532.0,80.0,128,0.064,0
Flow Duration,200000.0,12910652.149105,31628205.88359529,-1.0,149.0,31196.0,1807745.25,119999937.0,31196.0,180,0.09,0
Total Fwd Packets,200000.0,6.60356,331.82125051304035,1.0,1.0,2.0,4.0,147194.0,2.0,0,0.0,0
Total Backward Packets,200000.0,6.76713,442.2555904243603,0.0,1.0,2.0,4.0,196249.0,2.0,31589,15.7945,0
Total Length of Fwd Packets,200000.0,527.78757,3335.2270226192936,0.0,6.0,56.0,132.0,489184.0,56.0,29306,14.653,0
Total Length of Bwd Packets,200000.0,7932.549225,981102.0810179493,0.0,6.0,116.0,394.0,436000000.0,116.0,48064,24.032,0
Fwd Packet Length Max,200000.0,211.762605,795.4721743521358,0.0,6.0,35.0,56.0,23360.0,35.0,29306,14.653,0
Fwd Packet Length Min,200000.0,19.700175,68.05018790649844,0.0,0.0,6.0,36.0,1983.0,6.0,86788,43.394,0
Fwd Packet Length Mean,200000.0,61.16333799067955,209.5697245154584,0.0,6.0,32.0,48.0,4714.37931,32.0,29306,14.653,0
Fwd Packet Length Std,200000.0,70.74660557288463,320.20627574210494,0.0,0.0,0.0,14.43375673,5796.50069,0.0,134464,67.232,0
Bwd Packet Length Max,200000.0,811.873195,1923.340819159471,0.0,6.0,74.0,212.0,13032.0,74.0,48064,24.032,0
Bwd Packet Length Min,200000.0,41.45076,68.71420110595456,0.0,0.0,6.0,77.0,1639.0,6.0,96538,48.269,0
Bwd Packet Length Mean,200000.0,287.4769566016802,599.0470107973098,0.0,6.0,67.0,167.95,3869.0,67.0,48064,24.032,0
Bwd Packet Length Std,200000.0,316.1005845255446,849.4302618579877,0.0,0.0,0.0,16.743157807375,6694.376371,0.0,146047,73.0235,0
Flow Bytes/s,199820.0,1451106.8747445433,26276197.7058409,-12000000.0,121.34523165,5682.327753603,185009.842525,2071000000.0,5682.327753603,21366,10.683,180
Flow Packets/s,199820.0,64936.66548045066,240227.62434984968,-2000000.0,4.87009627825,116.96859185164999,23668.63905,3000000.0,116.96859185164999,0,0.0,180
Flow IAT Mean,200000.0,1103846.7339694162,4058373.8502554465,-1.0,63.0,10915.5,250952.904775,119000000.0,10915.5,180,0.09,0
Flow IAT Std,200000.0,2374570.225858136,7104639.537965605,0.0,0.0,121.3273808,488663.97367499996,84800000.0,121.3273808,71460,35.73,0
Flow IAT Max,200000.0,7252876.150215,20958127.934188113,-1.0,116.0,30774.0,1647107.75,120000000.0,30774.0,180,0.09,0
Flow IAT Min,200000.0,127912.478555,2535813.9089990165,-14.0,3.0,4.0,66.0,119000000.0,4.0,4871,2.4355,0
Fwd IAT Total,200000.0,12590001.70631,31537850.421255577,0.0,0.0,10.0,547956.5,120000000.0,10.0,53783,26.8915,0
Fwd IAT Mean,200000.0,2208381.7162128217,8953727.689194335,0.0,0.0,5.0,92730.3541675,120000000.0,5.0,53783,26.8915,0
Fwd IAT Std,200000.0,2487291.2215141044,8023678.719727011,0.0,0.0,0.0,36452.236115,83200000.0,0.0,126806,63.403,0
Fwd IAT Max,200000.0,7101566.094525,21073231.04726524,0.0,0.0,6.0,273485.5,120000000.0,6.0,53783,26.8915,0
Fwd IAT Min,200000.0,951341.74394,8246429.80326599,0.0,0.0,3.0,48.0,120000000.0,3.0,55581,27.7905,0
