variable,correlation_avec_attaque,correlation_absolue
Bwd Packet Length Std,0.47440537524016824,0.47440537524016824
Bwd Packet Length Max,0.45294089412513966,0.45294089412513966
Bwd Packet Length Mean,0.4460853913813322,0.4460853913813322
Avg Bwd Segment Size,0.44608539138130887,0.44608539138130887
Packet Length Std,0.42726543671229367,0.42726543671229367
Packet Length Variance,0.4237033636658533,0.4237033636658533
Max Packet Length,0.4065439445746685,0.4065439445746685
Average Packet Size,0.37642557079554184,0.37642557079554184
Packet Length Mean,0.37603009619543576,0.37603009619543576
Min Packet Length,-0.3105541039856581,0.3105541039856581
Fwd IAT Std,0.30608032080237,0.30608032080237
Bwd Packet Length Min,-0.277700280647039,0.277700280647039
PSH Flag Count,0.270936329678171,0.270936329678171
Idle Max,0.27067166869101283,0.27067166869101283
Flow IAT Max,0.26596868502349386,0.26596868502349386
Fwd IAT Max,0.26521980903836084,0.26521980903836084
Idle Mean,0.2625259365524913,0.2625259365524913
Idle Min,0.24602288073768078,0.24602288073768078
Flow IAT Std,0.22564187650598133,0.22564187650598133
URG Flag Count,-0.14871267247654876,0.14871267247654876
Destination Port,-0.13229200258213644,0.13229200258213644
Fwd Packet Length Min,-0.12694563663463376,0.12694563663463376
Idle Std,0.12181823537342963,0.12181823537342963
Avg Fwd Segment Size,-0.10630685552635068,0.10630685552635068
Fwd Packet Length Mean,-0.10630685552635068,0.10630685552635068
Flow IAT Mean,0.10545126080040333,0.10545126080040333
Fwd IAT Total,0.1030664130558564,0.1030664130558564
Flow Duration,0.10145152937878885,0.10145152937878885
FIN Flag Count,0.09862188003396886,0.09862188003396886
Fwd Packet Length Max,-0.08964629077947617,0.08964629077947617
Init_Win_bytes_backward,-0.08851892879789275,0.08851892879789275
SYN Flag Count,-0.08392816946146059,0.08392816946146059
Fwd PSH Flags,-0.08392816946146059,0.08392816946146059
Bwd IAT Total,-0.07648508034898238,0.07648508034898238
Fwd IAT Mean,0.07360979268862503,0.07360979268862503
ACK Flag Count,0.06887079040851185,0.06887079040851185
Fwd Packet Length Std,-0.06850170823733619,0.06850170823733619
Bwd IAT Std,0.06812786589154103,0.06812786589154103
Subflow Fwd Bytes,-0.057235336429948644,0.057235336429948644
Total Length of Fwd Packets,-0.057235336429948644,0.057235336429948644
min_seg_size_forward,0.05690467262049105,0.05690467262049105
Bwd Packets/s,0.05592036031251804,0.05592036031251804
Init_Win_bytes_forward,0.05435913191933981,0.05435913191933981
Bwd IAT Min,-0.04330524071323471,0.04330524071323471
Fwd IAT Min,-0.03892823411607282,0.03892823411607282
Active Std,-0.038016464396152964,0.038016464396152964
Bwd IAT Mean,-0.032549003508772927,0.032549003508772927
Active Min,0.02515645542475819,0.02515645542475819
Bwd IAT Max,0.022794493383106792,0.022794493383106792
act_data_pkt_fwd,-0.022313387733663453,0.022313387733663453
Active Max,-0.02176691450174639,0.02176691450174639
Flow Bytes/s,-0.019814868533979298,0.019814868533979298
Down/Up Ratio,-0.014819230200644903,0.014819230200644903
Active Mean,0.012005424739328138,0.012005424739328138
Fwd Packets/s,-0.00934882667485687,0.00934882667485687
ECE Flag Count,-0.008182332666228287,0.008182332666228287
RST Flag Count,-0.008182332666228287,0.008182332666228287
Fwd URG Flags,-0.004889438893946369,0.004889438893946369
CWE Flag Count,-0.004889438893946369,0.004889438893946369
Bwd Header Length,-0.004884139607957362,0.004884139607957362
Fwd Header Length,-0.00460012807596856,0.00460012807596856
Fwd Header Length.1,-0.00460012807596856,0.00460012807596856
Flow IAT Min,-0.004275913433299001,0.004275913433299001
Subflow Fwd Packets,-0.004179849762042039,0.004179849762042039
Total Fwd Packets,-0.004179849762042039,0.004179849762042039
Total Backward Packets,-0.004152102084429974,0.004152102084429974
Subflow Bwd Packets,-0.004152102084429974,0.004152102084429974
Subflow Bwd Bytes,-0.0015081974401571613,0.0015081974401571613
Total Length of Bwd Packets,-0.0015078557924405737,0.0015078557924405737
Flow Packets/s,7.789876767218636e-05,7.789876767218636e-05
