,Bwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Mean,Avg Bwd Segment Size,Packet Length Std,Packet Length Variance,Max Packet Length,Average Packet Size,Packet Length Mean,Min Packet Length,Fwd IAT Std,Bwd Packet Length Min,PSH Flag Count,Idle Max,Flow IAT Max,Fwd IAT Max,Idle Mean,Idle Min,Flow IAT Std,URG Flag Count,Type_Attaque
Bwd Packet Length Std,1.0,0.983479399895788,0.9416076445511244,0.9416076445510982,0.9302854075484545,0.8876737834255294,0.9179625096782225,0.8455835818603967,0.8446667744230648,-0.25404440081048757,0.45323997228798174,-0.222833055715597,0.27749276365912584,0.43175286222017556,0.43087659708169584,0.42446957469880403,0.41538812406160713,0.3822272000856088,0.3504891086352817,-0.12259057137456802,0.4744053752401705
Bwd Packet Length Max,0.983479399895788,1.0,0.959253942855734,0.95925394285573,0.9272293082497071,0.8502596621729214,0.9324271417834075,0.8683965286442806,0.8724964296346607,-0.247501759772905,0.4773759747266271,-0.20429614838815705,0.29498130258273003,0.4596700680937322,0.45817917846747513,0.45143507328264726,0.44621609466593365,0.41464128555016433,0.36629720666544346,-0.13880134814140194,0.45294089412513405
Bwd Packet Length Mean,0.9416076445511244,0.959253942855734,1.0,1.0,0.9063413358499172,0.7900787718217903,0.8898630223806844,0.9082829262887595,0.913146498503623,-0.19544825430362245,0.4651650603146836,-0.13095742645957473,0.2697580692754326,0.4548114548151765,0.45369718137666276,0.44672997042786017,0.44052411246988216,0.40860027345647,0.35765836075696317,-0.15673853008411176,0.44608539138133757
Avg Bwd Segment Size,0.9416076445510982,0.95925394285573,1.0,1.0,0.9063413358499024,0.7900787718217687,0.8898630223806796,0.9082829262887677,0.9131464985036359,-0.19544825430362833,0.46516506031466415,-0.13095742645957995,0.26975806927544804,0.45481145481515883,0.45369718137664544,0.4467299704278425,0.4405241124698645,0.40860027345645467,0.35765836075694685,-0.1567385300841125,0.44608539138131303
Packet Length Std,0.9302854075484545,0.9272293082497071,0.9063413358499172,0.9063413358499024,1.0,0.9297540964055272,0.9843379176208358,0.9449577311574595,0.943966617792968,-0.2593133796067245,0.4792174889815819,-0.20717101497645343,0.3022595637833976,0.44420837885579256,0.4432885020646909,0.4398174028303626,0.4225312404939863,0.3833201254596784,0.35186051886398334,-0.08677048614913885,0.42726543671227774
Packet Length Variance,0.8876737834255294,0.8502596621729214,0.7900787718217903,0.7900787718217687,0.9297540964055272,1.0,0.8996219517447891,0.823602471806057,0.8120538884464374,-0.1888195383216925,0.32997804064875375,-0.1629005071425395,0.2003170337031284,0.3003770466010997,0.2986344111724182,0.2965460989430574,0.28072848628927205,0.24957700060107296,0.24160915634679056,-0.05156430623604179,0.4237033636658558
Max Packet Length,0.9179625096782225,0.9324271417834075,0.8898630223806844,0.8898630223806796,0.9843379176208358,0.8996219517447891,1.0,0.9131015140460007,0.9174340383196429,-0.26358042770865525,0.5330095173189962,-0.22019322409410316,0.2935722062014061,0.49869489911852577,0.4969270945055764,0.4943222317676737,0.47407821752621043,0.4295023899944277,0.3941535533036454,-0.08244384457357205,0.4065439445746741
Average Packet Size,0.8455835818603967,0.8683965286442806,0.9082829262887595,0.9082829262887677,0.9449577311574595,0.823602471806057,0.9131015140460007,1.0,0.9979317037122261,-0.16309826910071315,0.40225350763831785,-0.12287428183601377,0.3007660824861808,0.3815458172473195,0.38153954472981627,0.376444518448,0.3689109055080173,0.34145614114206946,0.29367644503177126,-0.1287976133505011,0.3764255707955349
Packet Length Mean,0.8446667744230648,0.8724964296346607,0.913146498503623,0.9131464985036359,0.943966617792968,0.8120538884464374,0.9174340383196429,0.9979317037122261,1.0,-0.19001060709859732,0.41832825530185763,-0.1484928512665209,0.31700742151805483,0.3977510080585112,0.39798975680934295,0.39277183542543254,0.38465224768777223,0.35600406294536574,0.3053481224878105,-0.12496345247981919,0.3760300961954403
Min Packet Length,-0.25404440081048757,-0.247501759772905,-0.19544825430362245,-0.19544825430362833,-0.2593133796067245,-0.1888195383216925,-0.26358042770865525,-0.16309826910071315,-0.19001060709859732,1.0,-0.19166622625966945,0.7407019859311692,-0.4600065735502806,-0.13686808620808932,-0.14529724678960446,-0.14136764574360997,-0.13029763259787028,-0.11766836541377397,-0.08942839816388334,-0.18535108008107004,-0.3105541039856588
Fwd IAT Std,0.45323997228798174,0.4773759747266271,0.4651650603146836,0.46516506031466415,0.4792174889815819,0.32997804064875375,0.5330095173189962,0.40225350763831785,0.41832825530185763,-0.19166622625966945,1.0,-0.1683514965569905,-0.03494480598276869,0.8907624807597497,0.8954268913912864,0.8991305312516772,0.867336502029893,0.8116944909946838,0.7609283460409423,-0.025459459484148145,0.3060803208023662
Bwd Packet Length Min,-0.222833055715597,-0.20429614838815705,-0.13095742645957473,-0.13095742645957995,-0.20717101497645343,-0.1629005071425395,-0.22019322409410316,-0.12287428183601377,-0.1484928512665209,0.7407019859311692,-0.1683514965569905,1.0,-0.3968306015426727,-0.1349347577677155,-0.14491218046234747,-0.14124499792824277,-0.1302778415021256,-0.11992033904239191,-0.10306444029115075,-0.18818849939428528,-0.27770028064704305
