variable,q1,q3,iqr,limite_inferieure,limite_superieure,nombre_valeurs_aberrantes,taux_valeurs_aberrantes_pct
Bwd Packet Length Std,0.0,16.743157807375,16.743157807375,-25.1147367110625,41.8578945184375,48407,24.2035
Fwd IAT Std,0.0,36452.236115,36452.236115,-54678.354172499996,91130.5902875,46028,23.014
Packet Length Variance,0.0,19969.2,19969.2,-29953.800000000003,49923.0,45418,22.709
Flow IAT Max,116.0,1647107.75,1646991.75,-2470371.625,4117595.375,44665,22.3325
Max Packet Length,6.0,356.25,350.25,-519.375,881.625,43741,21.8705
Bwd Packet Length Max,6.0,212.0,206.0,-303.0,521.0,42946,21.473
Packet Length Std,0.0,141.3124198,141.3124198,-211.96862969999998,353.2810495,41165,20.5825
Idle Max,0.0,0.0,0.0,0.0,0.0,37455,18.7275
Packet Length Mean,6.0,109.0,103.0,-148.5,263.5,32422,16.211
Avg Bwd Segment Size,6.0,167.95,161.95,-236.92499999999998,410.875,31490,15.745
Bwd Packet Length Mean,6.0,167.95,161.95,-236.92499999999998,410.875,31490,15.745
Average Packet Size,7.5,139.21249999999998,131.71249999999998,-190.06874999999997,336.78124999999994,28396,14.198
Bwd Packet Length Min,0.0,77.0,77.0,-115.5,192.5,5907,2.9535
Min Packet Length,0.0,36.0,36.0,-54.0,90.0,652,0.326
PSH Flag Count,0.0,1.0,1.0,-1.5,2.5,0,0.0
