Variable,Importance
Destination Port,0.277912163207375
Init_Win_bytes_backward,0.11226541382637414
Bwd Packet Length Max,0.0738303893671007
Average Packet Size,0.05802339049850019
Fwd IAT Std,0.05014707261247435
Fwd Packet Length Max,0.04925124282400261
Flow IAT Mean,0.04835158813532546
Avg Bwd Segment Size,0.04026682708838711
Active Min,0.03466127683436635
Flow Bytes/s,0.02823213887225557
Flow IAT Min,0.023961225857820245
Max Packet Length,0.022237463633284694
Min Packet Length,0.022231958606483145
Init_Win_bytes_forward,0.02065421621401217
Fwd IAT Min,0.016898334318201032
Bwd Packet Length Mean,0.013928654652050529
Bwd IAT Mean,0.009981570373139398
Bwd IAT Min,0.009658786309434397
Fwd IAT Mean,0.009387346570615171
Packet Length Mean,0.009012571128254472
Flow Duration,0.007569191629950223
act_data_pkt_fwd,0.007311818714709547
Fwd IAT Max,0.005531961804513462
Fwd IAT Total,0.005531927513026847
Flow IAT Max,0.005158362662085323
Bwd Packets/s,0.004987284393738207
Flow IAT Std,0.004899718361861798
Total Length of Fwd Packets,0.004866765906013402
Bwd Packet Length Std,0.003530220445736467
Subflow Fwd Bytes,0.0033421129419966386
Total Backward Packets,0.0025873395189248065
Bwd Packet Length Min,0.0015891211064584443
PSH Flag Count,0.0015750332248060733
Subflow Fwd Packets,0.0015086734704516701
Fwd Packet Length Min,0.0013170832781661938
Packet Length Variance,0.0012447702552268224
Subflow Bwd Bytes,0.0012444005628615216
Bwd IAT Total,0.0010360799675017103
Fwd Packets/s,0.0005542968900024647
Total Length of Bwd Packets,0.0005449096938373441
Flow Packets/s,0.00053465251685518
URG Flag Count,0.0003760506477351358
Total Fwd Packets,0.000359980487761779
Subflow Bwd Packets,0.0003120511622752788
Packet Length Std,0.00028841564691805193
Bwd IAT Std,0.00020183030238886518
Down/Up Ratio,0.00019763653182458397
Active Mean,0.00018711540913768872
Fwd Packet Length Mean,0.00018660600649417013
Fwd Packet Length Std,0.00018220630165272214
Active Std,0.00010313020118098153
Idle Max,7.991689705047291e-05
Bwd IAT Max,3.081410493062346e-05
Idle Mean,2.6482801483490505e-05
Idle Min,2.6395640279960735e-05
FIN Flag Count,2.629051564061072e-05
ACK Flag Count,2.4798681082416822e-05
Avg Fwd Segment Size,1.6988139855785434e-05
Active Max,8.838320134281119e-06
Fwd PSH Flags,4.3521524497978375e-06
Idle Std,5.542211523433127e-07
Bwd Header Length,9.502341823995634e-08
CWE Flag Count,9.501697197651313e-08
Fwd Header Length,0.0
Fwd URG Flags,0.0
SYN Flag Count,0.0
Fwd Header Length.1,0.0
ECE Flag Count,0.0
RST Flag Count,0.0
min_seg_size_forward,0.0
