Classe reelle,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,428281,137827,4363,12933,3181,10209,11648,783,0,9413,10555,1522,7918,1292,4591
Bot,2,448,0,0,0,0,0,0,0,0,136,0,0,0,0
DDoS,29,1553,36537,18,10,8,2,0,0,0,0,0,3,245,0
DoS GoldenEye,0,0,0,2737,0,11,2,0,0,0,0,0,21,315,0
DoS Hulk,79,157,0,1314,45301,1,154,0,0,0,0,0,2452,2396,1
DoS Slowhttptest,1,1,0,4,0,1044,385,0,0,0,0,0,47,86,0
DoS slowloris,1,4,0,503,0,30,1010,0,0,0,0,0,5,62,0
FTP-Patator,2,1,3,0,0,0,0,1774,0,0,0,0,0,0,0
Heartbleed,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0
PortScan,72,285,19,12,0,1,0,0,0,5,26807,0,43,1,1
SSH-Patator,2,64,0,0,0,0,0,4,0,0,0,896,0,0,0
Web Attack - Brute Force,0,13,0,0,0,0,0,0,0,0,0,0,28,41,359
Web Attack - SQL Injection,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Web Attack - XSS,5,4,0,2,0,0,0,0,0,0,0,0,9,2,174
