Classe reelle,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
BENIGN,641022,2178,0,5,1004,7,2,0,0,0,286,1,1,0,10
Bot,93,493,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,17,0,38384,0,4,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,6,0,0,3070,7,3,0,0,0,0,0,0,0,0,0
DoS Hulk,12,0,1,8,51829,0,0,0,0,0,5,0,0,0,0
DoS Slowhttptest,10,0,0,0,0,1554,4,0,0,0,0,0,0,0,0
DoS slowloris,4,0,0,1,1,3,1605,0,0,0,0,0,0,1,0
FTP-Patator,1,0,0,0,0,0,0,1779,0,0,0,0,0,0,0
Heartbleed,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0
PortScan,8,0,0,0,9,0,0,0,0,0,27227,0,2,0,0
SSH-Patator,5,0,0,0,0,0,0,0,0,0,0,961,0,0,0
Web Attack - Brute Force,4,0,0,0,0,0,0,0,0,0,3,0,332,0,102
Web Attack - SQL Injection,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,12,0,0,0,0,0,0,0,0,0,2,0,117,0,65
