Classe,precision,recall,f1-score,support
BENIGN,0.9991497403449758,0.9991388887164943,0.9991443145012704,644516.0
Bot,0.8234295415959253,0.8276450511945392,0.825531914893617,586.0
DDoS,0.9998697611419343,0.9995052727509439,0.9996874837231106,38405.0
DoS GoldenEye,0.9909443725743855,0.9928710304601426,0.9919067659436711,3086.0
DoS Hulk,0.9973982423681776,0.9980329765692797,0.9977155085162372,51855.0
DoS Slowhttptest,0.9821882951653944,0.9846938775510204,0.9834394904458599,1568.0
DoS slowloris,0.9907350216182829,0.993188854489164,0.9919604205318491,1615.0
FTP-Patator,0.9988776655443322,1.0,0.9994385176866929,1780.0
Heartbleed,0.6,1.0,0.75,3.0
Infiltration,0.9,0.8181818181818182,0.8571428571428571,11.0
PortScan,0.9890198670632735,0.9884753725317478,0.9887475448354351,27246.0
SSH-Patator,1.0,0.9989648033126294,0.9994821336095288,966.0
Web Attack - Brute Force,0.7211981566820277,0.7097505668934241,0.7154285714285714,441.0
Web Attack - SQL Injection,0.75,0.5,0.6,6.0
Web Attack - XSS,0.35978835978835977,0.3469387755102041,0.35324675324675325,196.0
accuracy,0.9981742373232506,0.9981742373232506,0.9981742373232506,0.9981742373232506
macro avg,0.8735066015924713,0.8771591525440937,0.8701914851003636,772280.0
weighted avg,0.9981669535440554,0.9981742373232506,0.9981700970345011,772280.0
