Classe,precision,recall,f1-score,support
BENIGN,0.9988134126252897,0.9991078576792508,0.9989606134552467,644516.0
Bot,0.8212927756653993,0.7372013651877133,0.7769784172661871,586.0
DDoS,0.9998957953420518,0.9994011196458794,0.999648396296441,38405.0
DoS GoldenEye,0.9948203302039494,0.9957874270900843,0.9953036437246964,3086.0
DoS Hulk,0.9962363204724866,0.9953909941182143,0.9958134779001794,51855.0
DoS Slowhttptest,0.9904153354632588,0.9885204081632653,0.989466964570699,1568.0
DoS slowloris,0.9944237918215614,0.9938080495356038,0.9941158253329204,1615.0
FTP-Patator,1.0,0.998314606741573,0.9991565926342424,1780.0
Heartbleed,1.0,0.6666666666666666,0.8,3.0
Infiltration,1.0,0.5454545454545454,0.7058823529411765,11.0
PortScan,0.9894234300403966,0.9888423988842399,0.9891328291357662,27246.0
SSH-Patator,0.9947368421052631,0.9782608695652174,0.9864300626304802,966.0
Web Attack - Brute Force,0.735357917570499,0.7687074829931972,0.7516629711751663,441.0
Web Attack - SQL Injection,0.5,0.16666666666666666,0.25,6.0
Web Attack - XSS,0.38064516129032255,0.3010204081632653,0.33618233618233617,196.0
accuracy,0.9979152638939245,0.9979152638939245,0.9979152638939245,0.9979152638939245
macro avg,0.8930707408400319,0.8082100577703587,0.8379156322163692,772280.0
weighted avg,0.9978724847241632,0.9979152638939245,0.9978889055854065,772280.0
