Classe,precision,recall,f1-score,support
BENIGN,0.9995472314604119,0.6645001830831198,0.7982937415132093,644516.0
Bot,0.0031918380142207784,0.764505119453925,0.006357134748552617,586.0
DDoS,0.8928449244904941,0.9513604999349043,0.9211743794672684,38405.0
DoS GoldenEye,0.1561947155167494,0.8869086195722619,0.2656121112135475,3086.0
DoS Hulk,0.9341953311886497,0.873609102304503,0.9028869821718636,51855.0
DoS Slowhttptest,0.09235668789808917,0.6658163265306123,0.16221255438160348,1568.0
DoS slowloris,0.07650935535186729,0.6253869969040248,0.1363390928725702,1615.0
FTP-Patator,0.6926981647793831,0.996629213483146,0.8173231974199493,1780.0
Heartbleed,1.0,0.6666666666666666,0.8,3.0
Infiltration,0.0009547045719741168,0.8181818181818182,0.0019071837253655435,11.0
PortScan,0.7148723965972426,0.9838875431255965,0.8280793883697583,27246.0
SSH-Patator,0.3705541770057899,0.927536231884058,0.5295508274231678,966.0
Web Attack - Brute Force,0.002660079802394072,0.06349206349206349,0.005106227774231786,441.0
Web Attack - SQL Injection,0.001349527665317139,1.0,0.0026954177897574125,6.0
Web Attack - XSS,0.03394459617635583,0.8877551020408163,0.06538895152198422,196.0
accuracy,0.7057725177396799,0.7057725177396799,0.7057725177396799,0.7057725177396799
macro avg,0.3981249153679293,0.7850823657771678,0.4161951460261886,772280.0
weighted avg,0.969581075622061,0.7057725177396799,0.8061243000261724,772280.0
