Classe,precision,recall,f1-score,support
BENIGN,0.9997223955084217,0.9945788777935691,0.997144003807995,644516.0
Bot,0.1845750655185324,0.841296928327645,0.302732575990175,586.0
DDoS,0.999973948156832,0.9994531961984117,0.9997135043625472,38405.0
DoS GoldenEye,0.9951377633711507,0.9948152948801037,0.9949765029978934,3086.0
DoS Hulk,0.9806069550081357,0.9994986018706007,0.989962658415227,51855.0
DoS Slowhttptest,0.9917038927887684,0.9910714285714286,0.9913875598086125,1568.0
DoS slowloris,0.9962756052141527,0.9938080495356038,0.9950402975821451,1615.0
FTP-Patator,1.0,0.999438202247191,0.9997190221972464,1780.0
Heartbleed,1.0,0.6666666666666666,0.8,3.0
Infiltration,1.0,0.7272727272727273,0.8421052631578947,11.0
PortScan,0.9892453584274971,0.999302649930265,0.99424857127207,27246.0
SSH-Patator,0.998960498960499,0.994824016563147,0.9968879668049793,966.0
Web Attack - Brute Force,0.7328918322295805,0.7528344671201814,0.7427293064876958,441.0
Web Attack - SQL Injection,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Web Attack - XSS,0.3672316384180791,0.33163265306122447,0.3485254691689008,196.0
accuracy,0.9948891593722484,0.9948891593722484,0.9948891593722484,0.9948891593722484
macro avg,0.860199441351221,0.8413218062248065,0.829307809766522,772280.0
weighted avg,0.9971056392807548,0.9948891593722484,0.9958242279311114,772280.0
