classe,effectif,pourcentage
BENIGN,2273097,80.30036637024273
DoS Hulk,231073,8.162980531966342
PortScan,158930,5.614427024989553
DDoS,128027,4.522734843820156
DoS GoldenEye,10293,0.3636147824087174
FTP-Patator,7938,0.28042107672791206
SSH-Patator,5897,0.20831986513788078
DoS slowloris,5796,0.20475189729339613
DoS Slowhttptest,5499,0.19425995224575313
Bot,1966,0.0694517305173942
Web Attack - Brute Force,1507,0.053236906352855065
Web Attack - XSS,652,0.023032822124791973
Infiltration,36,0.0012717509148658145
Web Attack - SQL Injection,21,0.0007418547003383918
Heartbleed,11,0.00038859055732010995
