classe,valeurs_valides_analysees,valeurs_aberrantes,pourcentage_aberrant
BENIGN,167571134,13210627,7.883593483350182
DoS Hulk,13482216,3221622,23.895344800884367
DDoS,9985244,1495813,14.980234834521822
PortScan,7083632,289160,4.082086703544171
DoS GoldenEye,802308,168683,21.02471868658919
DoS slowloris,420030,68490,16.30597814441826
DoS Slowhttptest,407784,63925,15.67619131697173
SSH-Patator,251082,60604,24.137134481962068
FTP-Patator,462770,39237,8.478725932968862
Web Attack - Brute Force,114660,10450,9.113901971044829
Bot,152324,8923,5.857908143168509
Web Attack - XSS,50856,4359,8.571260028315244
Infiltration,2808,808,28.774928774928775
Heartbleed,858,299,34.84848484848485
Web Attack - SQL Injection,1638,162,9.89010989010989
