variable,q1,q3,iqr,borne_inferieure,borne_superieure,valeurs_valides,valeurs_aberrantes,pourcentage_aberrant,decision
Fwd IAT Std,0.0,299755.20207500004,299755.20207500004,-449632.80311250006,749388.0051875,2574264,621237,24.132606445958924,conservee_analyse_descriptive
Total Length of Bwd Packets,6.0,860.0,854.0,-1275.0,2141.0,2574264,587938,22.839071672524653,conservee_analyse_descriptive
Subflow Bwd Bytes,6.0,860.0,854.0,-1275.0,2141.0,2574264,587938,22.839071672524653,conservee_analyse_descriptive
Destination Port,53.0,443.0,390.0,-532.0,1028.0,2574264,547284,21.25982416721828,conservee_analyse_descriptive
Bwd IAT Total,0.0,147678.0,147678.0,-221517.0,369195.0,2574264,529429,20.56622786163346,conservee_analyse_descriptive
Bwd Packet Length Std,0.0,220.240592,220.240592,-330.360888,550.60148,2574264,529357,20.56343094569943,conservee_analyse_descriptive
Bwd IAT Mean,0.0,28897.3499975,28897.3499975,-43346.02499625,72243.37499375001,2574264,522518,20.297762778021212,conservee_analyse_descriptive
Packet Length Variance,5.333333333,94032.5728888138,94027.2395554808,-141035.52599988822,235073.43222203502,2574264,518892,20.156906983899088,conservee_analyse_descriptive
Fwd IAT Min,0.0,49.0,49.0,-73.5,122.5,2574264,516607,20.06814374904827,conservee_analyse_descriptive
Bwd IAT Max,0.0,105779.25,105779.25,-158668.875,264448.125,2574264,515852,20.038814977795596,conservee_analyse_descriptive
Flow IAT Mean,78.6666666667,502283.575,502204.9083333333,-753228.6958333333,1255590.9375,2574264,515512,20.02560731921823,conservee_analyse_descriptive
Bwd IAT Std,0.0,25807.36926,25807.36926,-38711.053889999996,64518.423149999995,2574264,515375,20.020285409732647,conservee_analyse_descriptive
Fwd IAT Mean,1.0,687395.999975,687394.999975,-1031091.4999625001,1718488.4999375,2574264,514122,19.971611303269597,conservee_analyse_descriptive
Flow IAT Min,3.0,69.0,66.0,-96.0,168.0,2574264,488078,18.95990465624349,conservee_analyse_descriptive
Flow Bytes/s,119.9688783,130434.7826,130314.8137217,-195352.25170425003,325907.00318255,2572640,484494,18.832561104546304,conservee_analyse_descriptive
Fwd IAT Max,1.0,3776399.75,3776398.75,-5664597.125,9440997.875,2574264,483195,18.770219371439758,conservee_analyse_descriptive
Fwd IAT Total,1.0,4298155.25,4298154.25,-6447230.375,10745386.625,2574264,469258,18.228821907931742,conservee_analyse_descriptive
Flow Duration,199.0,5222701.5,5222502.5,-7833554.75,13056455.25,2574264,469212,18.227034989418335,conservee_analyse_descriptive
Bwd Packets/s,0.169542135,4081.632653,4081.463110865,-6122.025124162501,10203.827319297501,2574264,456545,17.73497201530224,conservee_analyse_descriptive
Flow IAT Std,0.0,1406633.25675,1406633.25675,-2109949.885125,3516583.1418749997,2574264,446238,17.334585730134904,conservee_analyse_descriptive
Avg Bwd Segment Size,6.0,214.0,208.0,-306.0,526.0,2574264,440834,17.12466165086409,conservee_analyse_descriptive
Bwd Packet Length Mean,6.0,214.0,208.0,-306.0,526.0,2574264,440834,17.12466165086409,conservee_analyse_descriptive
