code,classe,observations_train,poids
0,BENIGN,1503870,0.07988208200620178
1,Bot,1367,87.88022433552791
2,DDoS,89611,1.34059732250133
3,DoS GoldenEye,7200,16.685037037037038
4,DoS Hulk,120994,0.9928778837518114
5,DoS Slowhttptest,3660,32.82302367941712
6,DoS slowloris,3770,31.865322723253758
7,FTP-Patator,4153,28.926623324504373
8,Heartbleed,8,15016.533333333333
9,Infiltration,25,4805.290666666667
10,PortScan,63573,1.8896743376380958
11,SSH-Patator,2253,53.32102382009173
12,Web Attack - Brute Force,1029,116.74661483641076
13,Web Attack - SQL Injection,15,8008.817777777777
14,Web Attack - XSS,456,263.4479532163743
