Label,Label_Encoded,Class_Weight
BENIGN,0,0.08020926308952629
Bot,1,86.12415706359369
DDoS,2,1.3135630567733914
DoS GoldenEye,3,16.347786284279174
DoS Hulk,4,0.9728587372871754
DoS Slowhttptest,5,32.16784632552208
DoS slowloris,6,31.22700402352213
FTP-Patator,7,28.34511869644613
Heartbleed,8,14947.325925925927
Infiltration,9,4638.8252873563215
PortScan,10,1.8515715825935357
SSH-Patator,11,52.24308090614887
Web Attack - Brute Force,12,114.39280045351474
Web Attack - Sql Injection,13,7913.290196078431
Web Attack - XSS,14,257.7125159642401
